COMPONENT_STRING,COMPONENT_LABEL,COMPONENT_DESCRIPTION,API_SHORT_NAME,PROGRAM_STRING,PROGRAM_LABEL,FREQUENCY,FREQUENCY_NOTES,PROGRAM_DESCRIPTION
CRE,Community Resilience Estimates,"Community Resilience Estimates (CRE) measure the capacity of communities to absorb, endure, and recover from adverse situations. The CRE assigns estimated risk factor counts to every census tract based on social vulnerability indicators from ACS data, supporting disaster preparedness and public health response planning.",cre,CRE,Community Resilience Estimates,annual,"Released on the annual ACS cycle; derived from ACS microdata, not an independently fielded survey.","Tract-level estimates of population vulnerability to disasters based on ACS social indicators. Used for emergency preparedness, public health response, and resilience planning."
GOVS,Public Sector Annual Surveys and Census of Governments,"Public Sector Annual Surveys and Census of Governments time series provide annual statistics on the finances (revenues, expenditures, debt) and employment of state and local governments, aggregated from annual surveys and the quinquennial Census of Governments. Key source for public finance and intergovernmental fiscal analysis.",timeseries/govs,PUB,Public Sector,quinquennial,Census of Governments conducted in years ending in 2 or 7; annual surveys conducted in intervening years. API data reflects the quinquennial census component.,"Annual and quinquennial statistics on the finances, employment, and operations of state and local governments, including revenues, expenditures, debt, and pension funds."
BUILDINGPERMITSANNUAL,Annual Residential Building Permits,"Annual Residential Building Permits report the number of authorized new housing units by structure type (single-family, 2-4 unit, 5+ unit) at the national, state, metro, county, and permit-issuing place levels. An early indicator of housing supply and construction activity.",timeseries/buildingpermits/annual,BPSANN,Economic Indicator Programs,annual,,Annual building permits data for residential construction by structure type and geography. Used to track housing supply trends and construction activity.
BUILDINGPERMITSMONTHLY,Monthly Residential Building Permits,Monthly Residential Building Permits report the number of authorized new housing units by structure type at sub-annual frequency. Used by economists as a leading indicator of residential construction and housing market conditions.,timeseries/buildingpermits/monthly,BPSMON,Economic Monthly Indicators,monthly,,Monthly building permits data for residential construction. Provides early-indicator data on housing starts and construction activity at national and local levels.
BUILDINGPERMITSYTD,Year To Date Residential Building Permits,"Year-to-Date Residential Building Permits aggregate monthly permit authorizations through the current month of the reference year, enabling in-year tracking of cumulative new housing supply relative to prior years.",timeseries/buildingpermits/ytd,BPSYTD,Economic Year to Date Indicators,monthly,,Year-to-date cumulative building permits data for residential construction. Useful for tracking permit trends within a calendar year.
BDSFIRMS,Firm Statistics,"Business Dynamics Statistics (BDS) Firm Statistics measure business entry, exit, expansion, and contraction at the firm level (enterprise), distinct from the establishment-level BDS series. Useful for studying firm lifecycle dynamics.",timeseries/bds/firms,BDS,Business Dynamics Statistics,annual,,"Annual statistics on business formation, job creation, and destruction by firm age, size, and industry. Used to study entrepreneurship, economic dynamism, and labor market flows."
ZBP,Zipcode Business Patterns,"ZIP Code Business Patterns (ZBP) provide annual establishment counts, employment size distributions, and payroll by NAICS industry at the 5-digit ZIP code level. Useful for local market research, service-area analysis, and economic development planning at fine geographic granularity.",zbp,ANN,Annual Economic Surveys,annual,,"Annual economic surveys providing timely estimates of revenue, employment, and payroll between economic census years for key sectors including retail, services, and construction."
SOMA,Survey of Market Absorption,"Survey of Market Absorption (SOMA) tracks how quickly newly completed apartments are rented in the private rental market. Provides quarterly absorption rates by rent level and number of bedrooms for the U.S., regions, and selected metro areas, supporting rental housing market analysis.",timeseries/soma,SOMA,Survey of Market Absorption,quarterly,Tracks absorption of new rental units at 3-month intervals for up to 12 months after completion; each survey wave is tied to a specific construction completion cohort.,Quarterly survey tracking the absorption rate of new privately owned unsubsidized rental apartments into the housing market. Used for rental housing market analysis.
AHSHC,American Housing Survey Housing Costs,"AHS Housing Costs tabulation presents detailed owner and renter housing cost data derived from the American Housing Survey, including mortgage payments, insurance, taxes, utilities, and rent, used to measure affordability and cost burden.",ahs/hc,AHS,American Housing Survey,biennial,Conducted in odd-numbered years.,"Longitudinal survey of U.S. housing units tracking housing quality, costs, neighborhood conditions, and household mobility. Fielded biennially at national and select metro levels."
AHS10,American Housing Survey Housing Costs,"AHS 2010 wave dataset contains the American Housing Survey data collected in 2010, covering structural characteristics, neighborhood conditions, move history, and housing costs for the national housing stock panel.",ahs/10,AHS,American Housing Survey,biennial,Conducted in odd-numbered years.,"Longitudinal survey of U.S. housing units tracking housing quality, costs, neighborhood conditions, and household mobility. Fielded biennially at national and select metro levels."
AHS,American Housing Survey,"American Housing Survey (AHS) is the most comprehensive national housing survey, collecting data biennially on structural characteristics, neighborhood quality, housing costs, move history, and occupant characteristics. It follows a fixed panel of housing units rather than a fresh sample each round.",ahs,AHS,American Housing Survey,biennial,"Conducted in odd-numbered years. Sample redrawn in 1985, 2015, and 2025; cross-year comparisons should account for redesign breaks.","Longitudinal survey of U.S. housing units tracking housing quality, costs, neighborhood conditions, and household mobility. Fielded biennially at national and select metro levels."
AHSHCST,American Housing Survey Housing Costs,AHS Housing Costs Statistics tabulation provides summary statistics on housing cost burden-the share of income devoted to housing-and related cost variables from the American Housing Survey.,ahs/hcst,AHS,American Housing Survey,biennial,Conducted in odd-numbered years.,"Longitudinal survey of U.S. housing units tracking housing quality, costs, neighborhood conditions, and household mobility. Fielded biennially at national and select metro levels."
AHSPWSD,"American Housing Survey Plumbing, Water, and Sewage Disposal","AHS Plumbing, Water, and Sewage Disposal tabulation reports on access to complete plumbing facilities, the primary source of water supply, and sewage disposal method from the American Housing Survey. Used to monitor substandard housing conditions.",ahs/pwsd,AHS,American Housing Survey,biennial,Conducted in odd-numbered years.,"Longitudinal survey of U.S. housing units tracking housing quality, costs, neighborhood conditions, and household mobility. Fielded biennially at national and select metro levels."
CBP,County Business Patterns,"County Business Patterns (CBP) provides annual establishment counts, employment, and payroll by NAICS industry for every U.S. county, metro area, state, and the nation. Released annually, CBP is widely used for local economic analysis, market research, and policy planning.",cbp,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
NONEMP,Nonemployer Statistics,"Nonemployer Statistics (NES) are annual data on non-farm businesses without paid employees-primarily sole proprietors and partnerships with no payroll. Covers establishment counts and receipts by NAICS industry at the national, state, and county levels.",nonemp,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
BDS,Business Dynamics Statistics,"Business Dynamics Statistics (BDS) measure annual changes in employment and establishment counts, capturing births, deaths, expansions, and contractions of firms and establishments. Provides a unique longitudinal view of U.S. business dynamics by industry, geography, firm age, and firm size.",timeseries/bds,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
CFSHAZMAT,Commodity Flow Survey Hazmat Data,"Commodity Flow Survey (CFS) Hazardous Materials Data focus specifically on shipments of DOT-regulated hazardous materials, reporting value, weight, mode, and commodity type to support transportation safety planning and emergency preparedness.",cfshazmat,ECNSVY,Economic Surveys,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
CFSAREA,Commodity Flow Survey - Geographic Area Data,"Commodity Flow Survey (CFS) Geographic Area Data report shipment value, weight, and mode of transport by origin state and NAICS industry sector, providing a national picture of freight flows from every U.S. region.",cfsarea,ECNSVY,Economic Surveys,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
CFSTEMP,Commodity Flow Survey Temperature Data,"Commodity Flow Survey (CFS) Temperature-Controlled Shipments Data report freight shipped under refrigerated or heated conditions, covering food, pharmaceuticals, and other temperature-sensitive commodities by mode and region.",cfstemp,ECNSVY,Economic Surveys,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
CFSEXPORT,Commodity Flow Survey Export Data,"Commodity Flow Survey (CFS) Export Data report the characteristics of shipments destined for export (value, weight, commodity, mode, origin) from U.S. locations, linking domestic freight flows to international trade.",cfsexport,ECNSVY,Economic Surveys,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
CFSPRELIM,Commodity Flow Survey Preliminary Data,"Commodity Flow Survey (CFS) Preliminary Data provide early-release national totals for shipment value, weight, and ton-miles before the full geographic and commodity detail is available, offering a first look at current freight activity.",cfsprelim,ECNSVY,Economic Surveys,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
VIUSA,All Vehicles,"Vehicle Inventory and Use Survey (VIUS) - All Vehicles provides detailed data on the characteristics and use of trucks operated by U.S. businesses, including fleet size, vehicle type, fuel, mileage, and cargo. Conducted periodically by the Census Bureau for DOT.",viusa,ECNSVY,Economic Surveys,periodic,"Conducted periodically; collected as part of Economic Census cycles 1963–2002, discontinued, then resumed in 2021.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
VIUSPUF,Vehicle Inventory and Use Survey Public Use File,"Vehicle Inventory and Use Survey (VIUS) Public Use File contains record-level microdata (with identifying information removed) for individual trucks in the VIUS sample, enabling custom analyses of commercial vehicle characteristics and use patterns.",viuspuf,ECNSVY,Economic Surveys,quinquennial,"Conducted every 5 years as part of Economic Census cycles 1963–2002, then discontinued; resumed in 2021.",Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
EITSQTAX,Quarterly Summary of State and Local Tax Revenue Timeseries,"Quarterly Summary of State and Local Government Tax Revenue (QTAX) provides quarterly tax collections for all 50 states and the District of Columbia, broken down by type of tax (property, sales, income, etc.). Key indicator of state fiscal capacity.",timeseries/eits/qtax,ECNSVY,Economic Surveys,quarterly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
EITSQSPP,Time Series Economic Indicators Time Series: Quarterly Survey of Public Pensions,"Quarterly Survey of Public Pensions (QSPP) measures quarterly assets, liabilities, revenue, and expenditures of state and local government retirement systems. Provides timely data on the fiscal health of public pension funds.",timeseries/eits/qspp,ECNSVY,Economic Surveys,quarterly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASMVALUE2012,Annual Survey of Manufactures Value,"Annual Survey of Manufactures (ASM) Value Series (2012 benchmark) provides value-of-shipments, inventories, and value-added estimates for manufacturing industries at national and state levels, anchored to the 2012 Economic Census benchmark.",timeseries/asm/value2012,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASMVALUE2017,Annual Survey of Manufactures Value,"Annual Survey of Manufactures (ASM) Value Series (2017 benchmark) provides updated manufacturing value-of-shipments, inventories, and value-added statistics anchored to the 2017 Economic Census benchmark.",timeseries/asm/value2017,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASMBENCHMARK2017,Annual Survey of Manufactures Benchmark 2017,"Annual Survey of Manufactures (ASM) Benchmark 2017 provides the final benchmarked national manufacturing statistics for the 2017 ASM cycle, aligned to the 2017 Economic Census for the most accurate ASM time series.",timeseries/asm/benchmark2017,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASMBENCHMARK,Annual Survey of Manufactures Benchmark,"Annual Survey of Manufactures (ASM) Benchmark provides the most recent benchmarked national manufacturing statistics aligned to the latest Economic Census, serving as the authoritative ASM reference point.",timeseries/asm/benchmark2022,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASMAREA2012,Annual Survey of Manufactures Area,"Annual Survey of Manufactures (ASM) Geographic Area Series (2012 benchmark) provides establishment counts, employment, payroll, and production statistics for manufacturing industries at state and sub-state levels, using the 2012 Economic Census as anchor.",timeseries/asm/area2012,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASMAREA2017,Annual Survey of Manufactures Area,"Annual Survey of Manufactures (ASM) Geographic Area Series (2017 benchmark) provides state and sub-state manufacturing statistics (employment, payroll, shipments) using the 2017 Economic Census as anchor.",timeseries/asm/area2017,ECNSVY,Economic Surveys,annual,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ABSTCB,Annual Business Survey,"Annual Business Survey (ABS) provides data on business ownership by race, ethnicity, gender, and veteran status, along with R&D activity, innovation, and technology use for non-farm employer businesses. Combines and replaces the Survey of Business Owners and Annual Survey of Entrepreneurs.",abstcb,ECNSVY,Economic Surveys,annual,Annual collection beginning with survey year 2017; replaced the quinquennial Survey of Business Owners (SBO) for employer businesses.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ABSCB,Annual Business Survey,"Annual Business Survey (ABS) Characteristics of Businesses module provides detailed data on business ownership demographics, financing, and operational characteristics for employer businesses.",abscb,ECNSVY,Economic Surveys,annual,Annual collection beginning with survey year 2017; replaced the quinquennial Survey of Business Owners (SBO) for employer businesses.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ABSCBO,Annual Business Survey,"Annual Business Survey (ABS) Characteristics of Business Owners module provides demographic and socioeconomic profiles of business owners (race, gender, veteran status, education, citizenship) for employer businesses.",abscbo,ECNSVY,Economic Surveys,annual,Annual collection beginning with survey year 2017; replaced the quinquennial Survey of Business Owners (SBO) for employer businesses.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ABSCS,Annual Business Survey,"Annual Business Survey (ABS) Company Summary module provides aggregate employment, payroll, and receipts by race/ethnicity, gender, veteran status, and firm size at national and state levels.",abscs,ECNSVY,Economic Surveys,annual,Annual collection beginning with survey year 2017; replaced the quinquennial Survey of Business Owners (SBO) for employer businesses.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASECB,Annual Survey of Entrepreneurs Characteristics of Businesses,"Annual Survey of Entrepreneurs (ASE) Characteristics of Businesses provides data on business financing, technology use, government contracting, and other operational characteristics for employer businesses, by owner demographics. Predecessor to the ABS.",ase/cscb,ECNSVY,Economic Surveys,annual,Annual collection for survey years 2014–2016; superseded by the Annual Business Survey (ABS) starting 2017.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASECBO,Annual Survey of Entrepreneurs Characteristics of Business Owners,"Annual Survey of Entrepreneurs (ASE) Characteristics of Business Owners provides owner demographic and socioeconomic profiles including race, gender, education, and immigration status. Predecessor to the ABS owner module.",ase/cscbo,ECNSVY,Economic Surveys,annual,Annual collection for survey years 2014–2016; superseded by the Annual Business Survey (ABS) starting 2017.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ASECS,Annual Survey of Entrepreneurs Company Summary,"Annual Survey of Entrepreneurs (ASE) Company Summary provides aggregate employment, payroll, and receipts by owner race/ethnicity, gender, veteran status, and firm size. Predecessor to the ABS company summary.",ase/csa,ECNSVY,Economic Surveys,annual,Annual collection for survey years 2014–2016; superseded by the Annual Business Survey (ABS) starting 2017.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
SBOCS,Survey of Business Owners Company Summary,"Survey of Business Owners (SBO) Company Summary provides aggregate counts, receipts, payroll, and employment by owner race/ethnicity, sex, and veteran status for non-farm employer and nonemployer businesses.",sbo/cs,ECNSVY,Economic Surveys,quinquennial,Conducted in years ending in 2 or 7; discontinued after 2012 and superseded by the Annual Business Survey (ABS) starting 2017.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
SBOCB,Survey of Business Owners Characteristics of Business,"Survey of Business Owners (SBO) Characteristics of Business provides detailed data on business financing, contracting, and operations by owner race, ethnicity, and gender for non-farm employer businesses. The primary predecessor to the ABS.",sbo/cscb,ECNSVY,Economic Surveys,quinquennial,Conducted in years ending in 2 or 7; discontinued after 2012 and superseded by the Annual Business Survey (ABS) starting 2017.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
SBOCBO,Survey of Business Owners Characteristics of Business Owners,"Survey of Business Owners (SBO) Characteristics of Business Owners provides demographic profiles of business owners including race, sex, veteran status, and education for non-farm employer businesses.",sbo/cscbo,ECNSVY,Economic Surveys,quinquennial,Conducted in years ending in 2 or 7; discontinued after 2012 and superseded by the Annual Business Survey (ABS) starting 2017.,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSENDUSE,Time Series International Trade: Monthly U.S. Exports by End-use Code,"Monthly U.S. Exports by End-Use Code classify goods exports by the Bureau of Economic Analysis end-use category (capital goods, consumer goods, industrial supplies, etc.), providing an economic-purpose view of export composition.",timeseries/intltrade/exports/enduseexport,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSHITECH,Monthly U.S. Exports by Advanced Technology Code,"Monthly U.S. Exports by Advanced Technology Code report exports of products classified as high-tech under the BEA technology classification, enabling tracking of U.S. technology export trends.",timeseries/intltrade/exports/hitech,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSHS,Time Series International Trade: Monthly U.S. Exports by Harmonized System (HS) Code,Monthly U.S. Exports by Harmonized System (HS) Code provide the most detailed commodity-level view of U.S. merchandise exports using the international HS classification system.,timeseries/intltrade/exports/hsexport,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSNAICS,Monthly U.S. Exports by North American Industry Classification System (NAICS) Code,"Monthly U.S. Exports by NAICS Industry Code cross-reference merchandise exports to the producing industry using NAICS codes, bridging trade and production statistics.",timeseries/intltrade/exports/naics,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSPORTHS,Monthly U.S. Exports by Port and Harmonized System (HS) Code,"Monthly U.S. Exports by Port and HS Code provide export statistics at the district/port of export level combined with HS commodity codes, supporting port-level trade analysis.",timeseries/intltrade/exports/porths,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSSITC,Monthly U.S. Exports by Standard International Trade Classification (SITC) Code,"Monthly U.S. Exports by Standard International Trade Classification (SITC) Code provide exports in the UN-standard SITC classification, enabling international comparisons of U.S. trade patterns.",timeseries/intltrade/exports/sitc,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSSTATEHS,Monthly U.S. Exports by State and Harmonized System (HS) Code,"Monthly U.S. Exports by State and HS Code report the origin state of export goods combined with HS commodity codes, linking sub-national production geography to international trade flows.",timeseries/intltrade/exports/statehs,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSSTATENAICS,Monthly U.S. Exports by State and North American Industry Classification System (NAICS),"Monthly U.S. Exports by State and NAICS Code report export values by the origin state of the exporting industry using NAICS codes, enabling state-level export performance analysis by industry.",timeseries/intltrade/exports/statenaics,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYEXPORTSUSDA,Monthly U.S. Exports by Department of Agriculture Code,"Monthly U.S. Exports by USDA Agricultural Code report agricultural commodity exports using the USDA's own classification system, supporting agricultural trade policy and market analysis.",timeseries/intltrade/exports/usda,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSENDUSE,Monthly U.S. Imports by End-use Code,"Monthly U.S. Imports by End-Use Code classify goods imports by economic purpose (capital goods, consumer goods, industrial supplies, etc.), providing a BEA-category view of import composition.",timeseries/intltrade/imports/enduse,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSHITECH,Monthly U.S. Imports by Advanced Technology Code,"Monthly U.S. Imports by Advanced Technology Code report imports of high-tech products under the BEA technology classification, enabling tracking of technology trade balances.",timeseries/intltrade/imports/hitech,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSHS,Monthly U.S. Imports by Harmonized System (HS) Code,Monthly U.S. Imports by Harmonized System (HS) Code provide the most detailed commodity-level view of U.S. merchandise imports using the international HS classification.,timeseries/intltrade/imports/hs,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSNAICS,Monthly U.S. Imports by North American Industry Classification System (NAICS) Code,"Monthly U.S. Imports by NAICS Industry Code cross-reference merchandise imports to the consuming industry, bridging trade and production statistics for import-demand analysis.",timeseries/intltrade/imports/naics,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSPORTHS,Monthly U.S. Imports by Port and Harmonized System (HS) Code,"Monthly U.S. Imports by Port and HS Code provide import statistics at the district/port-of-entry level combined with HS commodity codes, supporting port-level trade analysis.",timeseries/intltrade/imports/porths,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSSITC,Monthly U.S. Imports by Standard International Trade Classification (SITC) Code,"Monthly U.S. Imports by SITC Code provide imports in the UN-standard SITC classification, enabling international comparisons of U.S. import patterns.",timeseries/intltrade/imports/sitc,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSSTATEHS,Monthly U.S. Imports by State and Harmonized System (HS) Code,"Monthly U.S. Imports by State of Destination and HS Code link import flows to the U.S. state where goods are ultimately consumed or processed, combined with HS commodity detail.",timeseries/intltrade/imports/statehs,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSSTATENAICS,Monthly U.S. Imports by State and North American Industry Classification System (NAICS),"Monthly U.S. Imports by State of Destination and NAICS Code link import flows to the destination state using industry codes, supporting sub-national import demand analysis.",timeseries/intltrade/imports/statenaics,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ITMONTHLYIMPORTSUSDA,Monthly U.S. Imports by Department of Agriculture Code,"Monthly U.S. Imports by USDA Agricultural Code report agricultural commodity imports under the USDA classification, supporting agricultural trade policy and food security analysis.",timeseries/intltrade/imports/usda,ECNSVY,Economic Surveys,monthly,,Time-series economic surveys including Annual Survey of Manufactures and international trade data products. Provides annual estimates between economic census benchmarks.
ECNTYPE,"Mining: Detailed Statistics by Type of Operation for the U.S., States, and Offshore Areas","Economic Census Mining Detailed Statistics by Type of Operation break down mining sector employment, payroll, and receipts by operational type (e.g., surface vs. underground mining) for the U.S., states, and offshore areas.",ecntype,ECN,Economic Census,quinquennial,Conducted in years ending in 2 or 7.,"Comprehensive economic census conducted every 5 years covering employment, payroll, revenue, and operations for all U.S. industries and geographies. The benchmark for U.S. economic statistics."
ECNLOCMINE,"Mining: Location of Mines by Employment Size for Subsectors and Industries for the U.S., States, and Offshore Area","Economic Census Mining Location of Mines by Employment Size reports the number and distribution of mining establishments across employment size classes by NAICS subsector and industry, for the U.S., states, and offshore areas.",ecnlocmine,ECN,Economic Census,quinquennial,Conducted in years ending in 2 or 7.,"Comprehensive economic census conducted every 5 years covering employment, payroll, revenue, and operations for all U.S. industries and geographies. The benchmark for U.S. economic statistics."
ECNLOCMFG,"Manufacturing: Location of Manufacturing Establishments by Employment Size for the U.S., States, and Counties","Economic Census Manufacturing Location of Establishments by Employment Size reports the number of manufacturing establishments distributed across employment size classes by NAICS industry, for the U.S., states, and counties.",ecnlocmfg,ECN,Economic Census,quinquennial,Conducted in years ending in 2 or 7.,"Comprehensive economic census conducted every 5 years covering employment, payroll, revenue, and operations for all U.S. industries and geographies. The benchmark for U.S. economic statistics."
ECNBASIC,"Summary Statistics for the U.S., States, and Selected Geographies: 2022","Economic Census Summary Statistics for the U.S., States, and Selected Geographies provide the core business activity measures-number of establishments, sales/revenue, payroll, and employment-by NAICS industry sector at national, state, metro, county, and place levels. The primary entry point for Economic Census data.",ecnbasic,ECN,Economic Census,quinquennial,Conducted in years ending in 2 or 7.,"Comprehensive economic census conducted every 5 years covering employment, payroll, revenue, and operations for all U.S. industries and geographies. The benchmark for U.S. economic statistics."
